epoch: 52, lr: 0.000005, loss: 0.0034
loss: 0.0033, recon: 0.0033, kl: 2960.4041
loss: 0.0030, recon: 0.0030, kl: 2963.0647
loss: 0.0028, recon: 0.0028, kl: 2963.9614
loss: 0.0028, recon: 0.0028, kl: 2972.5596
loss: 0.0034, recon: 0.0034, kl: 2986.7983
epoch: 53, lr: 0.000005, loss: 0.0031
loss: 0.0025, recon: 0.0025, kl: 2975.6206
loss: 0.0029, recon: 0.0029, kl: 2981.6597
loss: 0.0031, recon: 0.0031, kl: 2997.8159
loss: 0.0029, recon: 0.0029, kl: 3022.3123
epoch: 54, lr: 0.000005, loss: 0.0032
loss: 0.0031, recon: 0.0031, kl: 3030.0486
loss: 0.0030, recon: 0.0030, kl: 3020.1865
loss: 0.0030, recon: 0.0030, kl: 3021.8042
loss: 0.0030, recon: 0.0030, kl: 3024.6880
epoch: 55, lr: 0.000005, loss: 0.0030
loss: 0.0031, recon: 0.0031, kl: 3043.6348
loss: 0.0032, recon: 0.0032, kl: 3039.3218
loss: 0.0028, recon: 0.0028, kl: 3027.8237
loss: 0.0030, recon: 0.0030, kl: 3022.4370
epoch: 56, lr: 0.000005, loss: 0.0031
loss: 0.0028, recon: 0.0028, kl: 3038.4487
loss: 0.0025, recon: 0.0025, kl: 3037.7175
loss: 0.0031, recon: 0.0031, kl: 3048.0103
loss: 0.0026, recon: 0.0026, kl: 3058.1094
epoch: 57, lr: 0.000005, loss: 0.0028
loss: 0.0028, recon: 0.0028, kl: 3042.4697
loss: 0.0030, recon: 0.0030, kl: 3074.5190
loss: 0.0027, recon: 0.0027, kl: 3073.4189
loss: 0.0031, recon: 0.0031, kl: 3077.8027
epoch: 58, lr: 0.000005, loss: 0.0032
loss: 0.0027, recon: 0.0027, kl: 3059.5869
loss: 0.0032, recon: 0.0032, kl: 3054.7444
loss: 0.0027, recon: 0.0027, kl: 3092.2874
loss: 0.0031, recon: 0.0031, kl: 3079.9519
loss: 0.0030, recon: 0.0030, kl: 3071.5059
epoch: 59, lr: 0.000005, loss: 0.0028
loss: 0.0028, recon: 0.0028, kl: 3085.9458
loss: 0.0028, recon: 0.0028, kl: 3078.4531
loss: 0.0029, recon: 0.0029, kl: 3093.8096
loss: 0.0027, recon: 0.0027, kl: 3087.2395
epoch: 60, lr: 0.000005, loss: 0.0024
loss: 0.0029, recon: 0.0029, kl: 3130.4805
loss: 0.0027, recon: 0.0027, kl: 3114.5823
loss: 0.0024, recon: 0.0024, kl: 3110.1602
loss: 0.0025, recon: 0.0025, kl: 3132.9287
epoch: 61, lr: 0.000005, loss: 0.0027
loss: 0.0027, recon: 0.0027, kl: 3132.5513
loss: 0.0027, recon: 0.0027, kl: 3123.5210
loss: 0.0027, recon: 0.0027, kl: 3156.8054
loss: 0.0027, recon: 0.0027, kl: 3167.8203
epoch: 62, lr: 0.000005, loss: 0.0023
loss: 0.0030, recon: 0.0030, kl: 3131.9312
loss: 0.0029, recon: 0.0029, kl: 3163.9202
loss: 0.0024, recon: 0.0024, kl: 3119.3994
loss: 0.0026, recon: 0.0026, kl: 3178.4463
epoch: 63, lr: 0.000005, loss: 0.0029
loss: 0.0027, recon: 0.0027, kl: 3149.6599
loss: 0.0027, recon: 0.0027, kl: 3157.5205
loss: 0.0025, recon: 0.0025, kl: 3152.3572
loss: 0.0026, recon: 0.0026, kl: 3154.6675
epoch: 64, lr: 0.000005, loss: 0.0025
loss: 0.0025, recon: 0.0025, kl: 3207.8052
loss: 0.0026, recon: 0.0026, kl: 3175.2100
loss: 0.0024, recon: 0.0024, kl: 3158.1196
loss: 0.0026, recon: 0.0026, kl: 3194.1094
loss: 0.0027, recon: 0.0027, kl: 3183.9268
epoch: 65, lr: 0.000005, loss: 0.0023
loss: 0.0025, recon: 0.0025, kl: 3200.8096
